cycle,px,py,objective,best_val,evaluated_count,no_improvement_count,status
1,15,6,3.561937154689094,3.561937154689094,107,0,improved
2,,,,3.561937154689094,107,1,invalid_or_evaluated
3,15,6,3.561937154689094,3.561937154689094,107,2,no_improvement
4,15,6,3.561937154689094,3.561937154689094,107,3,no_improvement
5,,,,3.561937154689094,107,4,invalid_or_evaluated
6,,,,3.561937154689094,107,5,invalid_or_evaluated
7,15,6,3.561937154689094,3.561937154689094,107,6,no_improvement
8,,,,3.561937154689094,107,7,invalid_or_evaluated
9,,,,3.561937154689094,107,8,invalid_or_evaluated
10,15,6,3.561937154689094,3.561937154689094,107,9,no_improvement
11,,,,3.561937154689094,107,10,invalid_or_evaluated
